,GSM8391918_H23-Ctrl.CEL.gz,GSM8391919_H23-KRAS-C12.CEL.gz,GSM8391920_H358-Ctrl.CEL.gz,GSM8391921_H358-KRAS-C12.CEL.gz,GSM8391922_H1792-Ctrl.CEL.gz,GSM8391923_H1792-KRAS-C12.CEL.gz,GSM8391924_H441-Ctrl.CEL.gz,GSM8391925_H441-KRAS-V12.CEL.gz,GSM8391926_H1299-Ctrl.CEL.gz,GSM8391927_H1299-KRAS-C12.CEL.gz,GSM8391928_H1299-KRAS-V12.CEL.gz,GSM8398301_HBEC3.CEL.gz,GSM8398302_HBEC3-K.CEL.gz,GSM8398303_HBEC3-p53.CEL.gz,GSM8398304_HBEC3-p53K.CEL.gz
X202241_at,10.76869166,10.15417137,11.71866819,11.80777728,11.09163654,10.6668393,11.58221223,11.23768119,9.954902801,9.961836625,9.753209054,9.449206774,12.94593935,10.320898,13.21619162
X202242_at,6.189148682,6.118606885,5.71712074,5.533877969,10.94561757,10.83257079,5.996890526,5.918304301,5.796660744,5.759682803,5.896661548,8.564612453,6.205490494,8.288575981,6.563608635
X202243_s_at,12.88002676,12.87674048,13.05368346,12.93678284,12.4215855,12.58206314,11.99324335,12.18824095,12.56729127,12.57417014,12.12753831,11.56292073,10.87026974,11.75202459,11.2416913
X202244_at,13.35098978,13.49310773,13.52932478,13.43192634,13.04579033,12.96887758,12.68794757,12.72877476,13.14700508,13.23261231,13.20783024,12.40248192,12.48270456,12.53132893,12.59822214
X202245_at,9.292780715,9.306623768,9.741669761,10.66319779,9.76560711,10.46498909,10.12573709,10.55668251,10.77526293,10.64597162,10.72930606,11.05285013,10.69526534,11.29646004,10.52566326
X202246_s_at,11.60723128,11.49085594,12.14128189,12.0176239,12.9262527,12.82813437,11.50816291,11.59951547,11.4274089,11.38396169,10.68955063,10.72115638,9.051949098,10.89177421,9.884506097
X202247_s_at,6.236057121,6.305986571,6.273276332,6.206741839,6.201180495,6.443669578,5.984486171,6.136081512,5.932293234,5.623651293,6.052870381,5.882314154,5.80775003,5.918560541,6.28073119
X202248_at,7.872340028,7.332942257,8.149726025,8.119229268,7.588464657,8.038792194,7.388030392,7.559268021,7.48123652,7.441393365,7.388281119,7.326436327,7.504413839,7.434535237,7.344671134
X202249_s_at,8.483280118,8.559824273,7.263977913,7.652015114,7.762321821,7.951760888,7.043604802,7.428904743,7.907919515,7.600095115,7.782238995,7.960092465,8.342516318,8.055175733,7.592547104
X202250_s_at,10.57635137,10.57002923,8.543953746,8.877256454,8.834446054,9.267184444,8.177003416,8.215579305,9.265150997,9.323686181,8.775685717,9.145956122,9.437287604,9.080591245,8.490901311
X202251_at,10.59799959,10.60074381,11.05065932,10.97322348,9.362933796,9.378453995,10.17252817,9.867249335,10.51676246,10.41385013,10.41862158,10.13676849,10.19693624,10.28736139,9.586755128
X202252_at,13.171756,13.09365522,12.41935667,12.44391311,12.89909149,12.74706668,12.21312754,12.1164779,12.34356265,12.34707112,12.31440001,12.05070492,11.85877701,12.25428739,12.20604063
X202253_s_at,7.439038262,7.112127534,7.175956065,7.26415845,7.104471065,7.223400664,7.144898812,7.750076068,7.302330076,7.235780037,6.851620152,7.196509431,7.344696155,7.199579725,7.459003356
